"SITC","Country","Deficit.1996","Deficit.1997","Deficit.1998","Deficit.1999","Deficit.2000","Deficit.2001","Deficit.2002","Deficit.2003","Deficit.2004","Deficit.2005","Deficit.2006","Deficit.2007","Deficit.2008","Deficit.2009","Deficit.2010","Deficit.2011","Deficit.2012","Deficit.2013","Deficit.2014","Deficit.2015","Deficit.2016"
"0","WorldTotal",-16.879211759,-9.020031354,-4.903744325,-3.14431799600001,-3.471201864,-3.947483875,-1.107161222,-0.374935149000002,1.39561044,2.958475687,1.918202073,-7.433905086,-19.56796942,-9.617000656,-12.342701595,-19.109340686,-15.824610995,-18.803129503,-15.494878002,-2.86284558400001,0.12953272499999
"0","Greenland",0.00542075,0.007141119,0.005493831,0.01210271,0.015500781,0.028418121,0.021040506,0.013566169,0.013615811,0.014395442,0.009789197,0.009649526,0.005934237,0.007448338,0.007965273,0.006932811,0.006210652,0.008914045,0.005262098,0.002362616,0.005145105
"0","Canada",0.286342231,0.555279744000001,0.620430486,1.115760922,1.56417153,2.341919998,2.430736366,1.726744773,2.133108239,1.909277982,1.419442807,0.768900945999999,0.420891236999999,-1.657313466,-1.745144325,-2.318212427,-2.232156129,-1.457969485,-0.619777127999999,-0.216987904,0.162750366999997
"0","St Pierre and Miquelon",0.000432886,0.001241607,0.004156911,0.004256865,0.006034296,0.003020434,0.003166177,0.002392988,0.000693166,0.000195155,0.000788682,0.001351796,0.001031743,0.000756694,0.001842629,0.000207902,NA,5.2856e-05,NA,0.000166042,6.958e-06
"0","Mexico",0.08820622,0.843294414,0.482774908,0.543745448,-0.0998318999999999,-0.807205572,-0.520809649,-0.225721458,0.107161693,0.178236345,-0.307996343,-0.720494306999999,-2.109994435,0.368421793,1.287054475,0.328404219999999,0.136719607,1.568891795,1.384669276,4.070094331,5.366750121
"0","Guatemala",0.422350305,0.551310206,0.460006487,0.448971218,0.471720426,0.350130897,0.385727555,0.462142924,0.455899353,0.51812474,0.396316625,0.460170289,0.562658441,0.64973162,0.637658389,0.915994645,1.080033952,0.853902627,0.864189609,0.933132003,0.939505868
"0","Belize",0.029386277,0.040460077,0.024917547,0.038400118,0.047662747,0.044918441,0.036616724,0.05358358,0.054696764,0.045534867,0.045813999,0.025141295,0.018545028,0.006969507,0.003757296,0.007370724,0.00263028100000001,0.002780949,0.012098459,0.011667107,-0.008658643
"0","El Salvador",0.004624722,0.023005981,0.024316466,-0.028525922,0.01465057,-0.091704278,-0.090156722,-0.073240157,-0.091095375,-0.027077682,-0.068419134,-0.081728353,-0.125027615,-0.122552068,-0.123005675,-0.12237302,-0.031889016,-0.158202737,-0.274851393,-0.208575306,-0.305086932
"0","Honduras",0.256612964,0.249112189,0.235688055,0.062938222,0.19562768,0.16470721,0.206220277,0.165114308,0.213774965,0.210240526,0.14241762,0.171076381,0.107008517,0.091908103,0.146353708,0.19972532,0.324874642,0.232936817,0.220485344,0.284188299,0.275506145
"0","Nicaragua",0.080685359,0.115297441,0.092553281,0.083538292,0.152846832,0.08952572,0.111007854,0.107283563,0.13720081,0.138790698,0.173679934,0.180434364,0.2090649,0.22276944,0.329886103,0.377459629,0.433326815,0.329947698,0.508229995,0.459851807,0.438583346
"0","Costa Rica",0.537491889,0.652111887,0.646871706,0.717890314,0.712740018,0.697123077,0.676238311,0.703772727,0.66664482,0.689357128,0.89759227,0.888638604,0.715536121,0.744330513,0.921790836,0.925035426,1.123491122,1.09724993,1.095482412,0.983817297,1.098001775
"0","Panama",0.069725191,0.084914173,-0.014513611,0.00504766099999998,-0.012198757,-0.016418393,-0.029189341,-0.029304844,-0.010907985,-0.016221929,-0.031100819,-0.123936404,-0.243869874,-0.220339048,-0.268377798,-0.305836437,-0.292363944,-0.422850361,-0.462551181,-0.454782942,-0.458297737
"0","Bermuda",-0.070417313,-0.066807973,-0.066964231,-0.062923094,-0.061782472,-0.052653628,-0.052056883,-0.052676223,-0.054491604,-0.058171975,-0.074830537,-0.088356244,-0.102869504,-0.102419284,-0.0939036,-0.093223238,-0.085069631,-0.085917305,-0.087530922,-0.088002152,-0.08569438
"0","Bahamas",-0.094426759,-0.065841135,-0.061883924,-0.048873343,-0.045255102,-0.071437162,-0.061992672,-0.050652917,-0.071636409,-0.100127136,-0.112228556,-0.111402596,-0.124442283,-0.159442215,-0.15244837,-0.169293967,-0.173969372,-0.172936888,-0.186777999,-0.186914188,-0.189341287
"0","Jamaica",-0.135753148,-0.130301638,-0.12152961,-0.118018737,-0.113687233,-0.116223603,-0.115440502,-0.117116357,-0.127255223,-0.127402727,-0.164842427,-0.214704452,-0.320300195,-0.239972736,-0.23326878,-0.283282701,-0.321163506,-0.309961659,-0.296077413,-0.253018435,-0.239327999
"0","Turks and Caicos Islands",-0.000438568,-0.000168575,-0.000544608,-0.002375442,-0.001337597,-0.000168661,0.001093405,-0.001503263,0.00123812,0.00276687,0.000907073,-0.001703284,-0.009008616,-0.008056293,-0.007987426,-0.010037758,-0.013507261,-0.015665387,-0.017824838,-0.019592854,-0.025237425
"0","Cayman Islands",-0.006209857,-0.020484094,-0.034011266,-0.028173917,-0.029742705,-0.025611125,-0.022181782,-0.02144688,-0.021947664,-0.025101028,-0.035564809,-0.045892281,-0.050463124,-0.043540925,-0.045127977,-0.041832518,-0.047374391,-0.05480689,-0.057791002,-0.052378222,-0.057498981
"0","Haiti",-0.157945084,-0.150427444,-0.164589111,-0.161594602,-0.136787302,-0.141619537,-0.13470509,-0.162296446,-0.182384952,-0.188970556,-0.182374683,-0.190849361,-0.343087969,-0.260630048,-0.290975054,-0.266591247,-0.30932691,-0.346580969,-0.311678046,-0.307935693,-0.312097614
"0","Dominican Republic",0.008086969,-0.001457981,-0.021708139,-0.187905136,-0.165253404,-0.194937255,-0.160819515,-0.092307367,-0.114749941,-0.190317278,-0.212933473,-0.360339637,-0.602406794,-0.398525818,-0.468197258,-0.565412356,-0.370128318,-0.563547622,-0.683039561,-0.50804412,-0.576035263
"0","Anguilla",-0.001207313,-0.001596575,-0.001466633,-0.00167976,-0.002033918,-0.002371017,-0.002228346,-0.001710199,-0.001722595,-0.001958544,-0.002449516,-0.004269989,-0.002891796,-0.001742909,-0.001871082,-0.002775638,-0.002722548,-0.004047262,-0.005272489,-0.005139457,-0.004914958
"0","British Virgin Islands",-0.005530277,-0.002790919,-0.005053835,-0.001419862,-0.00274057,-0.00540248,-0.004515621,-0.005709825,-0.008775278,-0.01074033,-0.013611705,-0.014527377,-0.013273308,-0.013491713,-0.014682435,-0.027498153,-0.026172152,-0.02537215,-0.022233017,-0.021272253,-0.020654648
"0","St Kitts and Nevis",-0.00367709,-0.000220021,-0.001064564,-0.003917798,-0.003323933,-0.004165468,-0.002531077,-0.004382338,-0.004536322,-0.005145252,-0.0053674,-0.005515838,-0.00894876,-0.009451675,-0.010964822,-0.011433256,-0.011573746,-0.011825663,-0.012491901,-0.015128394,-0.014312843
"0","Antigua and Barbuda",-0.013346292,-0.014257373,-0.014439087,-0.014433126,-0.01533158,-0.014664105,-0.011238,-0.012028619,-0.013562737,-0.01464649,-0.014961222,-0.018421586,-0.02455121,-0.024227117,-0.024329454,-0.023371399,-0.024212395,-0.023796988,-0.026197866,-0.025688809,-0.023494583
"0","Montserrat",-0.000412127,-0.000348132,-0.000116981,-0.000177504,-0.000195285,-0.000322655,-0.000722337,-0.000519175,-0.000207806,-0.000378994,-0.000213244,-0.000215989,-0.000801761,-0.000677501,-0.000702814,-0.000786869,-0.000367924,-0.000686704,-0.000585437,-0.000595393,-0.000679877
"0","Dominica",-0.003870283,-0.00478085,-0.003868119,-0.003160625,-0.003379485,-0.004803743,-0.003140139,-0.002694794,-0.002173431,-0.002722998,-0.002034322,-0.003668735,-0.005600558,-0.006358586,-0.006794321,-0.007106923,-0.015095643,-0.007810024,-0.008308145,-0.008793299,-0.007699028
"0","St Lucia",-0.011829807,-0.011550678,-0.010277458,-0.008854594,-0.00858529,-0.008164132,-0.007440958,-0.009831419,-0.011129141,-0.014271801,-0.012787994,-0.016013866,-0.023297469,-0.023533978,-0.02715689,-0.029747318,-0.029824841,-0.029955926,-0.032867363,-0.031452271,-0.032298359
